都道府県,人口,出生数,死亡数,（再掲）乳児死亡数,（再掲）新生児死亡数,自　然増減数,死産数総数,死産数自然死産,死産数人工死産,周産期死亡数総数,周産期死亡数22週以後の死産数,周産期死亡数早期新生児死亡数,婚姻件数,離婚件数
01 北海道,5188441,29523.0,65078.0,59.0,25.0,-35555.0,728.0,304.0,424.0,92.0,75.0,17.0,20904.0,9070.0
02 青森県,1232227,6837.0,17905.0,18.0,15.0,-11068.0,145.0,87.0,58.0,32.0,17.0,15.0,4032.0,1915.0
03 岩手県,1203203,6718.0,17204.0,8.0,3.0,-10486.0,150.0,90.0,60.0,21.0,19.0,2.0,3918.0,1679.0
04 宮城県,2280203,14480.0,24632.0,27.0,15.0,-10152.0,311.0,141.0,170.0,56.0,41.0,15.0,8921.0,3553.0
05 秋田県,955659,4499.0,15379.0,9.0,4.0,-10880.0,98.0,63.0,35.0,18.0,15.0,3.0,2686.0,1213.0
06 山形県,1060586,6217.0,15348.0,14.0,9.0,-9131.0,119.0,66.0,53.0,22.0,16.0,6.0,3530.0,1362.0
07 福島県,1819085,11215.0,24515.0,28.0,11.0,-13300.0,261.0,106.0,155.0,44.0,37.0,7.0,6674.0,2969.0
08 茨城県,2801640,17389.0,32931.0,45.0,14.0,-15542.0,340.0,157.0,183.0,43.0,33.0,10.0,10622.0,4403.0
09 栃木県,1891396,11808.0,21702.0,25.0,13.0,-9894.0,262.0,124.0,138.0,44.0,33.0,11.0,7396.0,3037.0
10 群馬県,1879820,11660.0,23286.0,18.0,10.0,-11626.0,276.0,132.0,144.0,44.0,35.0,9.0,7044.0,2857.0
11 埼玉県,7159087,47328.0,70758.0,75.0,32.0,-23430.0,1012.0,447.0,565.0,133.0,107.0,26.0,29260.0,10659.0
12 千葉県,6122205,40168.0,62118.0,84.0,40.0,-21950.0,833.0,409.0,424.0,160.0,128.0,32.0,24996.0,9187.0
13 東京都,13484028,99661.0,121219.0,135.0,61.0,-21558.0,2076.0,955.0,1121.0,296.0,252.0,44.0,73931.0,20783.0
14 神奈川県,9006608,60865.0,84601.0,96.0,51.0,-23736.0,1357.0,574.0,783.0,200.0,157.0,43.0,39641.0,13509.0
15 新潟県,2185171,12981.0,29455.0,20.0,11.0,-16474.0,239.0,114.0,125.0,41.0,33.0,8.0,7570.0,2637.0
16 富山県,1017321,6256.0,12981.0,11.0,5.0,-6725.0,116.0,53.0,63.0,22.0,17.0,5.0,3720.0,1239.0
17 石川県,1117364,7712.0,12721.0,13.0,6.0,-5009.0,131.0,65.0,66.0,29.0,25.0,4.0,4336.0,1474.0
18 福井県,752018,5313.0,9286.0,24.0,14.0,-3973.0,93.0,50.0,43.0,22.0,11.0,11.0,3029.0,1052.0
19 山梨県,794358,5184.0,9796.0,11.0,7.0,-4612.0,103.0,66.0,37.0,24.0,17.0,7.0,3182.0,1296.0
20 長野県,2013539,12864.0,25428.0,26.0,15.0,-12564.0,258.0,133.0,125.0,49.0,37.0,12.0,7701.0,2910.0
21 岐阜県,1924681,12092.0,22720.0,22.0,10.0,-10628.0,206.0,101.0,105.0,26.0,19.0,7.0,7003.0,2834.0
22 静岡県,3540934,22497.0,42191.0,46.0,22.0,-19694.0,393.0,194.0,199.0,79.0,61.0,18.0,13846.0,5474.0
23 愛知県,7283260,55613.0,70518.0,95.0,48.0,-14905.0,1012.0,533.0,479.0,168.0,132.0,36.0,35390.0,11713.0
24 三重県,1718708,11141.0,20716.0,27.0,14.0,-9575.0,211.0,92.0,119.0,32.0,23.0,9.0,6855.0,2759.0
25 滋賀県,1380486,10437.0,13039.0,19.0,11.0,-2602.0,184.0,93.0,91.0,28.0,20.0,8.0,5878.0,2050.0
26 京都府,2520012,16440.0,26860.0,21.0,6.0,-10420.0,297.0,148.0,149.0,53.0,47.0,6.0,10197.0,3742.0
27 大阪府,8595483,61878.0,91644.0,112.0,46.0,-29766.0,1247.0,514.0,733.0,150.0,117.0,33.0,40989.0,14832.0
28 兵庫県,5356648,36953.0,58654.0,62.0,25.0,-21701.0,706.0,363.0,343.0,120.0,101.0,19.0,21964.0,8370.0
29 奈良県,1311730,7831.0,14678.0,13.0,6.0,-6847.0,158.0,73.0,85.0,26.0,20.0,6.0,4574.0,1831.0
30 和歌山県,916179,5732.0,12610.0,8.0,2.0,-6878.0,111.0,45.0,66.0,20.0,18.0,2.0,3527.0,1529.0
31 鳥取県,548766,3783.0,7096.0,5.0,2.0,-3313.0,88.0,52.0,36.0,13.0,11.0,2.0,2098.0,814.0
32 島根県,662115,4473.0,9585.0,12.0,8.0,-5112.0,91.0,60.0,31.0,24.0,18.0,6.0,2398.0,877.0
33 岡山県,1859012,13521.0,21788.0,20.0,8.0,-8267.0,267.0,121.0,146.0,33.0,27.0,6.0,7852.0,2986.0
34 広島県,2746811,19606.0,30244.0,30.0,13.0,-10638.0,388.0,200.0,188.0,62.0,52.0,10.0,11765.0,4233.0
35 山口県,1326043,8203.0,18477.0,12.0,4.0,-10274.0,148.0,80.0,68.0,18.0,15.0,3.0,4810.0,1988.0
36 徳島県,713716,4521.0,9886.0,16.0,9.0,-5365.0,93.0,48.0,45.0,20.0,11.0,9.0,2609.0,1081.0
37 香川県,937342,6179.0,12183.0,9.0,5.0,-6004.0,124.0,55.0,69.0,24.0,19.0,5.0,3786.0,1498.0
38 愛媛県,1322257,8102.0,18036.0,7.0,3.0,-9934.0,193.0,101.0,92.0,27.0,24.0,3.0,4903.0,2001.0
39 高知県,686982,4082.0,9998.0,11.0,4.0,-5916.0,76.0,33.0,43.0,14.0,11.0,3.0,2440.0,1149.0
40 福岡県,5055456,38966.0,53273.0,71.0,32.0,-14307.0,820.0,373.0,447.0,109.0,87.0,22.0,22745.0,8955.0
41 佐賀県,804878,6004.0,9963.0,11.0,6.0,-3959.0,116.0,72.0,44.0,25.0,20.0,5.0,3031.0,1235.0
42 長崎県,1303067,9182.0,17646.0,22.0,11.0,-8464.0,192.0,96.0,96.0,26.0,16.0,10.0,4900.0,1976.0
43 熊本県,1722005,13011.0,21156.0,22.0,8.0,-8145.0,282.0,132.0,150.0,33.0,28.0,5.0,6793.0,2797.0
44 大分県,1111592,7582.0,14444.0,13.0,7.0,-6862.0,159.0,91.0,68.0,36.0,30.0,6.0,4406.0,1889.0
45 宮崎県,1062573,7720.0,14140.0,17.0,7.0,-6420.0,195.0,99.0,96.0,19.0,17.0,2.0,4148.0,1905.0
46 鹿児島県,1577022,11638.0,21501.0,24.0,7.0,-9863.0,278.0,123.0,155.0,34.0,27.0,7.0,6131.0,2521.0
47 沖縄県,1447245,14943.0,12390.0,39.0,19.0,2553.0,323.0,153.0,170.0,52.0,35.0,17.0,7376.0,3410.0
外　国,,27.0,120.0,,,-93.0,5.0,3.0,2.0,1.0,1.0,,,
不　詳,,,856.0,,,,7.0,4.0,3.0,,,,,
